UID,Description
M_026,Split data based on values in a specific column
M_026,Divide data according to values in a particular column
M_026,Separate data based on values found in a specific column
M_026,Extract data based on values in a designated column
M_026,Segment data by values in a chosen column
M_026,"Name: column-value Description: Split data by chosen values in a source column into multiple outputs
 Fields:

Column: column to split data on

"
M_027,Duplicate the dataset
M_027,Create replicas of the dataset
M_027,Clone the input data
M_027,Generate duplicates of the dataset
M_027,Replicate the dataset
M_027,"Name: copy Description: Makes copies of the input dataset.
 "
M_022,Remove NaN values from dataset
M_022,Drop missing values from data
M_022,Eliminate NaN values in dataset
M_022,Get rid of missing values in data
M_022,Exclude NaN values from dataset
M_022,"Name: drop-missing-values Description: Drop missing (NaN) values in the dataset
 Fields:

How: If “any” is chosen, drops the column if it contains any NaN value, if “all” is chosen, drops the column only if all its values are NaN
Axis: Along which axes to drop the values (row or column)
Target columns (optional): Apply the drop to this subset of columns. 

"
M_021,Remove duplicate entries
M_021,Eliminate repeated rows
M_021,Get rid of duplicate records
M_021,Clean up duplicate data
M_021,Remove redundant rows
M_021,"Name: deduplicate Description: Remove duplicate rows.
 "
M_024,Arrange the data in specified columns in ascending order
M_024,Sort the data in the given columns in descending order
M_024,Order the information within the columns provided
M_024,Sort columns in either ascending or descending order
M_024,Arrange data in specified columns either ascending or descending
M_024,"Name: sort Description: Sort the data within one or many columns.
 Fields: 

Target columns: List of column names that you want to sort
Descending: If true, sorted descending by target column, if false, sorted ascending by target column

"
M_020,Transform data by pivoting rows into columns
M_020,Create a summary table with rows as columns and values as cells
M_020,Generate a cross-tabulated view of the data
M_020,Convert rows into columns for better analysis
M_020,Restructure data to have columns based on specific key and value columns
M_020,"Name: cross-tab Description: Widen data by increasing the number of columns and decreasing the number of rows.
 Fields: 

Key column: Name of the column from which to get the name/header row of the output column
Value column: Name of the column from which to get the cell values

"
M_025,Switch rows and columns
M_025,Convert columns to rows
M_025,Transform dataset by transposing
M_025,Change rows to columns
M_025,Reorganize data by transposing
M_025,"Name: transpose Description: Transpose the dataset, making the columns become rows and the rows become columns
 Fields: 

Output key name: The desired name of the key column
Output value name: The desired name of the value column
Target columns: Columns to transpose

"
M_023,Get a sample of rows from a table
M_023,Retrieve a subset of data from a table
M_023,Extract a portion of data from a table
M_023,Select random rows from a table
M_023,Fetch a sample set from a table
